seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
44,RMCA,RMCA,LosAngeles_Small,stress_shock,1,5,3600,174,87,0.5,1.0,652.1839,652.1839,0.3882,4.1753,277.8169,335.1393,1090.3853,0.785,59.7398,24,0.4748,1.8482,16,0.5,94863.5156,0.4544,0.8974,430.0,4.1757,52295,300.546,50090.9961,0,1
44,RMCA,RMCA,NewYork_Small,normal_ramp,0,6,3600,90,47,0.5222,1.0,751.5745,375.7872,0.4704,4.3387,287.3784,439.1,1338.5603,0.9316,19.6663,24,0.3032,2.5331,8,0.5572,62912.332,0.4023,0.7271,655.0147,4.328,74589,828.7667,138127.7812,0,0
44,RMCA,RMCA,NewYork_Small,normal_ramp,1,6,3600,99,50,0.5051,1.0,675.6,675.6,0.3244,4.3432,285.1429,384.1628,1090.917,0.7652,66.9595,28,0.3051,1.7327,7,0.5068,54545.8516,0.36,0.6387,655.0147,4.3794,52280,528.0808,88013.4688,0,0
44,RMCA,RMCA,NewYork_Small,normal_wave,0,6,3600,114,27,0.2368,1.0,869.963,289.9876,0.5125,4.6623,225.7917,564.9,1093.589,0.9687,7.0739,28,0.3598,5.1715,19,0.9634,29526.9043,0.5106,0.989,1191.7008,4.7274,206642,1812.6492,302108.1875,0,0
44,RMCA,RMCA,NewYork_Small,normal_wave,1,6,3600,114,47,0.4123,1.0,778.0,194.5,0.6805,4.659,245.4634,469.7727,1076.6993,0.8773,30.1235,28,0.3615,3.2985,13,0.8866,50604.8711,0.5024,0.9982,1191.7008,4.6399,216464,1898.807,316467.8438,0,0
44,RMCA,RMCA,NewYork_Small,over_fleet,0,60,3600,43,35,0.814,1.0,501.9429,71.7061,0.1285,4.6631,350.0857,195.8781,1128.8527,0.6449,124.3152,28,0.3565,4.1607,15,0.8561,39509.8438,0.4276,0.8595,1191.7008,4.7627,49590,1153.2559,192209.2969,0,0
44,RMCA,RMCA,NewYork_Small,over_fleet,1,60,3600,58,42,0.7241,1.0,536.881,76.6973,0.1175,4.6622,327.6667,216.2619,1232.068,0.752,81.2531,28,0.3548,2.7334,14,0.9001,51746.8594,0.2365,0.5313,1191.7008,4.6275,78306,1350.1034,225017.2344,0,0
44,RMCA,RMCA,NewYork_Small,stress_buildup,0,4,3600,240,115,0.4792,1.0,717.0261,717.0261,0.3002,4.477,272.8598,398.4655,1250.0247,0.9162,22.8549,28,0.355,2.2046,23,0.6156,143752.8438,0.4722,1.0158,935.74,4.4727,183818,765.9083,127651.3906,0,0
44,RMCA,RMCA,NewYork_Small,stress_buildup,1,4,3600,252,131,0.5198,1.0,600.0764,600.0764,0.4473,4.4653,254.017,355.4609,1107.7712,0.8722,32.4627,24,0.3793,2.6569,34,0.6296,145118.0312,0.3857,0.7225,935.74,4.4553,116228,461.2222,76870.3672,0,1
44,RMCA,RMCA,NewYork_Small,stress_shock,0,5,3600,161,87,0.5404,1.0,731.8851,731.8851,0.298,4.2007,221.8784,464.3038,1097.8657,0.9896,2.3052,24,0.4647,1.9986,14,0.5223,95514.3203,0.3827,0.6979,543.2,4.2054,94855,589.1615,98193.5781,0,1
44,RMCA,RMCA,NewYork_Small,stress_shock,1,5,3600,147,84,0.5714,1.0,595.3095,198.4365,0.6206,4.2146,226.6389,349.4286,1036.954,0.9151,19.2481,20,0.4499,3.0205,11,0.5298,87104.1328,0.4437,0.8522,543.2,4.2028,91964,625.6055,104267.5703,0,0
